url,categoria,nombre,variante,sku,marca,precio_lista,precio_transferencia,stock,descripcion,imagen
https://carlosisla.com.ar/productos/nobili-sah99128-2cr-sand-monoc-lavatorio-alto-cromo-c7jvw/,Terminaciones > Griferías > Griferías para Lavatorio > Nobili,NOBILI-SEE124128/2CR SEVEN MONOC. LAVATORIO ALTO CROMO,único,111100600/P,Nobili,1186470.05,744317.92,,"Comprá online NOBILI-SEE124128/2CR SEVEN MONOC. LAVATORIO ALTO CROMO por $1.186.470,05. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-see124128-2cr-seven-monoc-lavatorio-alto-cromo-a674949532124dba5217667609315303-480-0.webp
https://carlosisla.com.ar/productos/nobili-vsah99119-1cr-sand-monoc-bidet-cromo-dgbll/,Terminaciones > Griferías > Griferías para Bidet > Nobili,NOBILI-VABH87119/1CR ABC MONOC. BIDET CROMO,único,111100600/E,Nobili,377383.34,431262.11,,"Comprá online NOBILI-VABH87119/1CR ABC MONOC. BIDET CROMO por $377.383,34. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-vabh87119-1cr-abc-monoc-bidet-cromo-597ab2bd4995050d5317667613210390-480-0.webp
https://carlosisla.com.ar/productos/nobili-sa99100cr-sand-vista-monoc-ducha-c-transf-cromo-egjv3/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-VAD130/400CR ABC/SAND/SEVEN BRAZO DE DUCHA CROMO 40 CM,único,111100600/AB,Nobili,92506.73,642132.83,,"Comprá online NOBILI-VAD130/400CR ABC/SAND/SEVEN BRAZO DE DUCHA CROMO 40 CM por $92.506,73. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-vad130-400cr-abc-sand-seven-brazo-de-ducha-cromo-40-cm-e38aefa65ba8781af217667705531816-480-0.webp
https://carlosisla.com.ar/productos/nobili-see124118-2cr-seven-monoc-lavatorio-corto-cromo-fd6rx/,Terminaciones > Griferías > Griferías para Lavatorio > Nobili,NOBILI-ABH87118/2CR ABC MONOC. LAVATORIO CORTO CROMO,único,111100600/A,Nobili,360998.78,569675.75,,"Comprá online NOBILI-ABH87118/2CR ABC MONOC. LAVATORIO CORTO CROMO por $360.998,78. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-abh87118-2cr-abc-monoc-lavatorio-corto-cromo-f141aaa7f10e347b3e17667611967543-480-0.webp
https://carlosisla.com.ar/productos/nobili-see124128-2cr-seven-monoc-lavatorio-alto-cromo-gbjx8/,Terminaciones > Griferías > Griferías para Lavatorio > Nobili,NOBILI-SAH99128/2CR SAND MONOC. LAVATORIO ALTO CROMO,único,111100600/L,Nobili,827019.91,1067823.05,,"Comprá online NOBILI-SAH99128/2CR SAND MONOC. LAVATORIO ALTO CROMO por $827.019,91. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-sah99128-2cr-sand-monoc-lavatorio-alto-cromo-5e86ea129497c68b9817676997435293-480-0.webp
https://carlosisla.com.ar/productos/nobili-vse124119-1cr-seven-monoc-bidet-cromo-h79kp/,Terminaciones > Griferías > Griferías para Bidet > Nobili,NOBILI-VSAH99119/1CR SAND MONOC. BIDET CROMO,único,111100600/M,Nobili,479180.12,538672.65,,"Comprá online NOBILI-VSAH99119/1CR SAND MONOC. BIDET CROMO por $479.180,12. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-vsah99119-1cr-sand-monoc-bidet-cromo-cc09b8220e4c34df8317667617312455-480-0.webp
https://carlosisla.com.ar/productos/nobili-se124100-ecr-seven-vista-monoc-ducha-c-transf-cromo-i4vlo/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-VAD146/95CR ABC DUCHADOR DE MANO CROMO,único,111100600/Z,Nobili,65089.2,471323.93,,"Comprá online NOBILI-VAD146/95CR ABC DUCHADOR DE MANO CROMO por $65.089,20. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-vad146-95cr-abc-duchador-de-mano-cromo-e6876ee814c8966f2a17667603949362-480-0.webp
https://carlosisla.com.ar/productos/nobili-vad146-95cr-abc-duchador-de-mano-cromo-jd43p/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-SE124100/ECR SEVEN VISTA MONOC. DUCHA C/TRANSF CROMO,único,111100600/U,Nobili,523693.25,58580.28,,"Comprá online NOBILI-SE124100/ECR SEVEN VISTA MONOC. DUCHA C/TRANSF CROMO por $523.693,25. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-se124100-ecr-seven-vista-monoc-ducha-c-transf-cromo-2f9655da98935b291517676999117059-480-0.webp
https://carlosisla.com.ar/productos/nobili-vad139-200cr-abc-sand-seven-flor-de-ducha-cromo-20-cm-bb7hz/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-WE81100/SC ABC/SAND CUERPO INTERNO DE DUCHA,único,111100600/AF,Nobili,219076.37,132710.22,,"Comprá online NOBILI-WE81100/SC ABC/SAND CUERPO INTERNO DE DUCHA por $219.076,37. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-we81100-sc-abc-sand-cuerpo-interno-de-ducha-ef1e87f7033a1e3c6717667601359542-480-0.webp
https://carlosisla.com.ar/productos/nobili-we81100-sc-abc-sand-cuerpo-interno-de-ducha-c3g2c/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-WE81100 SEVEN CUERPO INTERNO DE DUCHA,único,111100600/AG,Nobili,438281.06,197168.73,,"Comprá online NOBILI-WE81100 SEVEN CUERPO INTERNO DE DUCHA por $438.281,06. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-we81100-seven-cuerpo-interno-de-ducha-e2acad31cab2fd55bb17667601480515-480-0.webp
https://carlosisla.com.ar/productos/nobili-we81100-seven-cuerpo-interno-de-ducha-bqd83/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-AB87110/1CR ABC MONOC. DUCHA C/TRANSF CROMO,único,111100600/I,Nobili,720965.72,394452.95,,"Comprá online NOBILI-AB87110/1CR ABC MONOC. DUCHA C/TRANSF CROMO por $720.965,72. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-ab87110-1cr-abc-monoc-ducha-c-transf-cromo-f08401e1b245176af417667614849829-480-0.webp
https://carlosisla.com.ar/productos/nobili-vav00158-18cr-pico-lavapies-cromo-n5kh8/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-WE81100/SC ABC/SAND CUERPO INTERNO DE DUCHA,único,111100600/AF,Nobili,219076.37,35182.81,,"Comprá online NOBILI-WE81100/SC ABC/SAND CUERPO INTERNO DE DUCHA por $219.076,37. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-we81100-sc-abc-sand-cuerpo-interno-de-ducha-ef1e87f7033a1e3c6717667601359542-480-0.webp
https://carlosisla.com.ar/productos/nobili-vad130-400cr-abc-sand-seven-brazo-de-ducha-cromo-40-cm-aybgg/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-SA99100CR SAND VISTA MONOC. DUCHA C/TRANSF CROMO,único,111100600/N,Nobili,713480.92,83256.06,,"Comprá online NOBILI-SA99100CR SAND VISTA MONOC. DUCHA C/TRANSF CROMO por $713.480,92. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-sa99100cr-sand-vista-monoc-ducha-c-transf-cromo-240c28eb9639af6dda17667626133210-480-0.webp
https://carlosisla.com.ar/productos/nobili-av00110-11cr-abc-sand-kit-de-drenaje-cromo-q6u39/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-AB87110/1CR ABC MONOC. DUCHA C/TRANSF CROMO,único,111100600/I,Nobili,720965.72,185556.61,,"Comprá online NOBILI-AB87110/1CR ABC MONOC. DUCHA C/TRANSF CROMO por $720.965,72. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-ab87110-1cr-abc-monoc-ducha-c-transf-cromo-f08401e1b245176af417667614849829-480-0.webp
https://carlosisla.com.ar/productos/oblak-puerta-placa-tekstura-nevada-80-15-marco-de-madera-derecha-7403y/,Terminaciones > Aberturas > Oblak Linea Tekstura,OBLAK PUERTA PLACA TEKSTURA ROBLE NATURAL 70/15 MARCO DE MADERA DERECHA,único,3306394/A,Oblak,633735.56,574969.22,,"Comprá online OBLAK PUERTA PLACA TEKSTURA ROBLE NATURAL 70/15 MARCO DE MADERA DERECHA por $633.735,56. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/oblak-pta-pca-tekstura-roble-natural-a1e6f980658bdcde4217670214819422-480-0.webp
