url,categoria,subcategoria,nombre,sku,marca,precio_ars,stock,unidad,tamano,material,uso,imagen
https://www.neuconmateriales.com.ar/catalog/product/view/id/28143,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa LAF C14 2mm x 1.22m x 2.44m,TERNIUM-0001817779,TERNIUM,141434.722,10,UNIDAD,1.22x2.44m,Fibrado,Exterior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-0001817779grn.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/28144,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa LAF C16 1.6mm x 1.22m x 2.44m,TERNIUM-0001817776,TERNIUM,109251.142,6,UNIDAD,1.22x2.44m,Fibrado,Exterior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-0001817776grn.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/28145,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa LAF C18 1.25mm x 1.00m x 2.00m,TERNIUM-0001817804,TERNIUM,55343.22199999999,0,UNIDAD,,Fibrado,Exterior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-0001817804grn.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/28146,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa LAF C18 1.25mm x 1.22m x 2.44m,TERNIUM-0001817772,TERNIUM,85303.79,10,UNIDAD,1.22x2.44m,Fibrado,Exterior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-0001817772grn.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/28148,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa LAF C20 0.9mm x 1.22m x 2.44m,TERNIUM-0001817771,TERNIUM,62031.255,0,UNIDAD,1.22x2.44m,Fibrado,Exterior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-0001817771grn.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/28152,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa LAF C24 0.56mm x 1.22m x 2.44m,TERNIUM-0001817747,TERNIUM,39796.9,234,UNIDAD,1.22x2.44m,Fibrado,Exterior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-0001817747grn.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/36727,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa lisa acero laminado en caliente 1/2"" - 12.5mm x 1.5m x 6m",VARIAS-CC-15006000-12,VARIAS,1724655.0717,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-cc-15006000-12.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/36693,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa lisa acero laminado en caliente 3/8"" - 9.5mm x 1.5m x 6m",VARIAS-CC-15006000-38,VARIAS,1676453.064,0,UNIDAD,1.5x6m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-cc-15006000-38.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/17570,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa acero laminado en frio obras civiles C16 1.65mm x 1m x 2m,VARIAS-CF-10002000-165,VARIAS,70807.022,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-cf-10002000-165grn.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23445,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa lisa galvanizada 1/8"" 1.22m x 2.44m x 3.2mm",PRADECON-10110,PRADECON,232725.35,1,UNIDAD,1.22x2.44m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-10110.jpg
